"predictor","group","buffer","scaled","include_in_model"
"forest_cover_prop_0_10km","forest","0_10km","true","true"
"forest_cover_prop_10_25km","forest","10_25km","true","true"
"forest_cover_prop_25_50km","forest","25_50km","true","true"
"flsy_prop_0_10km","forest_loss","0_10km","true","true"
"flsy_prop_10_25km","forest_loss","10_25km","true","true"
"flsy_prop_25_50km","forest_loss","25_50km","true","true"
"fl1yp_prop_0_10km","forest_loss","0_10km","true","true"
"fl1yp_prop_10_25km","forest_loss","10_25km","true","true"
"fl1yp_prop_25_50km","forest_loss","25_50km","true","true"
"fl2yp_prop_0_10km","forest_loss","0_10km","true","true"
"fl2yp_prop_10_25km","forest_loss","10_25km","true","true"
"fl2yp_prop_25_50km","forest_loss","25_50km","true","true"
"frag_edge_prop_0_10km","fragmentation","0_10km","true","true"
"frag_edge_prop_10_25km","fragmentation","10_25km","true","true"
"frag_edge_prop_25_50km","fragmentation","25_50km","true","true"
"pop_density_0_10km","population","0_10km","true","true"
"pop_density_10_25km","population","10_25km","true","true"
"pop_density_25_50km","population","25_50km","true","true"
"precip_mm_0_10km","climate","0_10km","false","true"
"precip_anom_mm_0_10km","climate","0_10km","false","true"
"precip_z_0_10km","climate","0_10km","false","true"
"temp_c_0_10km","climate","0_10km","false","true"
"temp_anom_c_0_10km","climate","0_10km","false","true"
"temp_z_0_10km","climate","0_10km","false","true"
"pet_mm_0_10km","climate","0_10km","false","true"
"ndvi_0_10km","vegetation","0_10km","false","true"
"ndvi_anom_0_10km","vegetation","0_10km","false","true"
"ndvi_z_0_10km","vegetation","0_10km","false","true"
"elevation_m_0_10km","topography","0_10km","false","true"
"distance_to_hypsignathusm","static_local","point","FALSE","TRUE"
"distance_to_bat","static_local","point","FALSE","TRUE"
"population_bushmeat_consumption","static_local","point","FALSE","TRUE"
"population_estimate","static_local","point","FALSE","TRUE"
"population_hunting","static_local","point","FALSE","TRUE"
"population_movement_intensity","static_local","point","FALSE","TRUE"
"travel_time_to_build_up","static_local","point","FALSE","TRUE"
"travel_time_to_hamlet","static_local","point","FALSE","TRUE"
"travel_time_to_small_settlement","static_local","point","FALSE","TRUE"
"travel_time_to_armed_conflit","static_local","point","FALSE","TRUE"
"travel_time_to_hospital","static_local","point","FALSE","TRUE"
"travel_time_to_mining","static_local","point","FALSE","TRUE"
"travel_time_to_river","static_local","point","FALSE","TRUE"
"travel_time_to_road","static_local","point","FALSE","TRUE"
"travel_time_to_settlement","static_local","point","FALSE","TRUE"
